msg_count,avg_time_gap,msg_size,connections,failed_attempts,ip_changes
19,119.0153398104142,239,2,2,0
3,79.03808355383714,73,3,1,1
15,104.74821783414576,157,2,2,1
9,114.16505590747474,165,2,2,0
25,61.095191750226824,378,3,2,0
20,96.56940454649244,293,3,2,0
14,10.934408472841609,482,3,1,0
8,115.57861082189979,20,1,0,1
23,63.563563087151614,302,1,1,1
8,95.07051813308995,251,1,0,0
5,29.72025045462213,52,2,2,1
23,70.73651237731569,447,2,0,0
15,110.75301931350077,473,2,2,0
1,50.53374034191009,500,2,1,0
8,39.85126180104052,274,1,0,1
16,20.38984985571728,204,3,2,1
22,92.3655869905697,428,3,0,0
17,71.28267486459299,432,3,2,0
7,116.92064344827276,190,3,2,1
9,41.015220473488164,296,3,2,1
22,26.97846650307705,358,2,1,1
25,102.84971000612659,444,2,2,1
25,8.64041193611883,85,2,2,1
25,24.035269675647232,21,2,0,0
3,34.90465297256235,216,3,1,0
25,72.1268371219186,191,1,1,0
23,61.14518559501356,141,3,1,0
7,86.32828943009288,108,3,1,1
22,116.46516056522954,209,1,2,1
20,46.43104119346821,41,3,1,1
14,98.13705234086487,210,2,0,1
20,58.37761676025661,387,2,2,1
25,52.501667188362866,283,3,2,0
8,84.85117607409939,405,3,1,1
20,116.91559738128122,80,1,0,0
1,84.65942563777678,290,2,2,0
21,15.614940118889201,158,2,0,0
3,45.100298432301265,318,2,1,1
10,98.96831801653174,52,1,1,0
19,48.38613079198843,235,2,2,0
13,67.99132981212539,55,3,1,0
24,51.49835844026492,304,2,1,0
11,85.84694259632253,61,2,1,0
19,51.10096724883256,368,3,1,1
20,70.7922576396876,294,2,0,0
15,10.869509562480566,93,3,0,1
4,42.021599141530935,103,2,0,1
18,53.94027703505857,494,3,2,1
12,83.40763118524741,386,2,0,1
9,73.36343836173866,229,3,0,0
6,60.09632099836217,284,3,1,0
25,93.75944743435525,266,2,2,0
21,14.198334784429958,332,3,2,1
8,26.25737952135354,246,3,0,1
24,95.63145221347645,462,1,0,1
4,46.37587727390025,133,2,0,0
18,60.26517618121066,455,3,1,0
5,41.523869274730075,444,1,0,0
11,80.99732273712377,42,3,0,1
25,83.1286316903849,429,3,1,1
3,81.52710792919748,322,1,2,1
12,119.30471369155096,298,3,2,1
16,48.24818315683317,49,2,1,0
15,92.54149498637518,152,3,0,1
20,40.48316279430853,291,2,1,1
11,43.75787535421892,497,1,0,0
7,57.12032982924677,322,1,2,0
23,96.69813433014895,105,1,1,0
8,32.34475936871419,487,1,2,1
23,64.5415487175276,480,1,2,0
8,91.53690211439624,427,1,2,0
8,18.7175628988754,331,2,2,1
19,78.23463957966055,394,1,0,1
4,71.37799460134963,172,1,2,0
8,91.65646864589972,395,3,2,0
8,40.155080032696134,438,1,1,1
17,71.58152550976811,230,3,0,1
13,82.65157029084637,131,1,0,0
18,105.23032215328753,228,1,0,0
2,53.498143392442465,213,3,2,1
11,103.86789867487826,252,2,0,1
20,39.87145290579106,149,1,0,0
5,18.23496961173124,69,1,0,0
22,74.01659470747697,136,1,1,0
19,102.70136073367489,475,2,0,0
21,59.74544638420654,292,2,1,1
9,62.247225839571016,444,1,2,0
17,82.89053751360974,164,1,1,0
24,91.59341566593518,140,1,2,1
5,113.01398901030043,312,1,0,1
12,22.120657873650238,326,1,1,0
8,32.70902494136237,45,2,2,1
21,54.88182420860094,482,1,1,1
16,78.38925940527564,217,3,1,1
19,117.55621985484633,417,1,0,0
21,47.10966181909061,391,2,2,0
13,109.10806590531644,174,1,2,1
7,82.81587936001907,317,3,2,0
9,12.681395949545994,482,1,0,0
6,89.1242712156955,244,2,0,1
1,47.0077329621273,251,1,1,1
13,18.800285638904487,423,2,1,1
9,87.38507017103214,138,1,0,0
19,73.5776856465582,276,2,1,1
25,17.686857338005332,458,2,1,0
25,35.80106462546712,447,3,1,1
10,38.818849935294814,102,3,1,0
25,39.23955890154439,205,3,0,0
12,47.10417458498079,147,1,1,0
3,112.78933312686421,461,3,0,0
24,20.956293276388855,164,1,0,1
14,27.174631602893022,35,2,0,1
23,71.82437882416181,367,1,0,0
12,6.485262863137048,215,1,2,0
12,53.211444167622005,164,1,0,0
1,82.87893122919674,433,1,1,1
15,111.37416511232077,335,1,2,0
14,21.030083772515887,409,2,2,0
25,40.22944304212249,124,1,1,0
17,29.309713318424617,36,2,0,1
15,117.53668974433218,262,2,2,0
5,16.590152368512342,408,1,2,0
15,29.862777476457193,491,3,2,1
10,59.492140812740544,219,1,2,0
18,67.83014198895816,338,1,2,0
24,11.586979842952399,177,3,0,0
17,54.28822250848193,494,3,2,1
9,80.00768738117472,382,2,2,1
25,101.28526716607176,498,2,1,1
24,65.97700349360892,64,3,2,0
18,107.37095911061901,350,1,1,1
19,26.961026512501842,31,1,2,1
6,78.84465197432532,477,1,1,0
12,11.639491117495524,454,3,0,1
19,99.38989501621533,265,3,2,0
22,46.046589177717166,192,2,2,1
20,48.11143237571809,235,1,1,1
10,30.193828599015603,374,3,0,1
4,32.629027998881405,230,3,1,0
21,55.030918807298804,103,2,0,0
19,114.16405287268724,494,3,0,1
25,26.426297595322012,51,1,1,0
20,43.435762662592644,69,1,1,1
21,49.18574254534996,309,1,2,0
23,51.80700079100173,483,3,1,0
1,46.102478458256485,299,3,1,1
3,85.41257448089225,108,2,2,1
10,26.466273692054834,62,3,2,1
20,116.80376711184005,143,1,0,1
24,76.11614590981787,143,2,0,0
8,50.2837215751898,128,1,1,0
17,93.75431883174353,243,2,0,1
5,10.935731311168063,110,1,1,0
10,115.68200006653126,356,1,1,1
16,17.943048709168984,366,2,2,0
9,21.06565640426872,93,3,2,1
14,34.00924931041736,347,3,0,1
24,14.687172118764027,361,3,2,0
16,44.211940401940375,295,2,0,0
12,40.64108306488527,370,2,2,0
9,46.31443991331451,474,2,0,0
25,50.27404016954604,144,1,0,1
24,117.64245030831279,251,2,0,1
19,54.68133883647325,295,2,2,1
14,12.941042762026942,358,3,0,1
14,43.20114237115735,160,3,1,0
23,5.173959679866875,268,1,0,0
11,15.47236161956298,112,3,0,0
1,42.40193662624757,25,3,0,0
15,11.173985804425717,151,2,0,0
13,72.59047018543096,359,2,2,1
23,69.60943396649704,254,3,2,1
17,107.06440465022185,403,3,0,1
23,72.69934289080484,427,3,1,1
7,98.80621755998916,92,2,0,1
4,63.044104586892864,26,2,1,0
17,15.001163818845239,170,2,1,1
7,78.64140857580455,318,3,0,0
6,74.65221014702895,170,1,1,1
23,89.7999929120741,322,2,1,0
16,94.63840217370038,213,2,2,0
16,19.936603895955372,125,2,0,0
8,7.27323179567527,54,2,1,0
14,45.67323028150579,221,2,1,1
4,61.42982061852401,235,3,2,1
7,29.376683699240967,216,3,1,1
24,116.78441955443981,74,3,2,0
6,105.62655560018109,189,2,1,1
19,5.322216497696882,307,3,2,1
9,88.90150596018186,103,3,1,0
12,36.280724587530024,407,3,1,1
16,52.69386524476002,239,3,1,0
9,38.376923340414514,32,3,2,0
23,76.37117722201909,141,1,0,1
20,103.06938248985526,118,3,1,0
1,6.587827418596753,416,2,0,1
12,105.24293139283984,56,3,0,0
18,87.74516968787313,473,3,1,1
23,58.29209392540597,362,2,1,0
20,52.65999046165279,266,2,0,1
2,91.36305301226358,51,1,1,1
9,44.175173821866686,135,2,1,0
10,20.555206572837015,479,2,0,0
9,14.19971070965797,120,2,1,1
9,68.7834474569058,453,2,1,1
8,109.3130610300203,286,2,1,1
19,61.20092047771001,419,3,0,0
21,108.2179311304969,266,2,2,1
14,65.46210839026745,259,2,2,1
21,72.5386202925572,61,2,0,0
13,74.30487117761731,40,1,1,1
12,113.90723594389299,390,1,1,1
9,30.267263654966374,32,1,1,1
18,56.44596814329531,85,1,0,0
17,58.965846691470226,313,2,0,1
2,93.51643009462703,469,2,1,0
16,36.01363557174512,221,1,1,0
18,101.36092223921997,104,2,1,1
6,26.678656990481755,479,3,1,0
24,105.82030172678387,86,3,1,0
10,65.85034616825699,474,2,1,1
14,102.14624890920327,158,3,1,0
18,25.437359524283387,33,2,2,1
18,106.22102127005273,296,3,0,0
9,47.4235803367092,492,3,2,1
10,33.943826304825336,203,3,0,0
13,118.56802772156021,72,3,1,0
12,36.61081050303562,381,2,0,1
12,51.618552081523944,107,2,0,0
16,47.30004474947695,276,3,2,0
12,19.82396631274203,127,3,2,1
5,47.683834932822094,420,1,0,1
14,14.584514940109957,318,1,1,0
5,67.98264712426258,140,1,0,0
21,76.33297040482574,437,2,1,1
19,108.11070027950713,132,2,2,0
1,44.71498977983072,196,1,0,1
10,59.560363025448126,45,1,2,0
11,100.76610246435038,449,3,2,0
15,103.61334306757234,319,3,2,0
7,82.50748790211499,114,1,0,0
24,93.3367171335696,367,3,2,1
12,9.178502590785623,335,2,2,0
2,33.97924996513444,405,1,1,0
14,100.13768242743596,419,2,0,0
11,44.37338854655041,54,3,0,1
8,81.53638841161745,214,3,2,1
11,100.53297512739022,450,3,2,0
14,51.697176586224884,243,2,1,1
7,36.60619752108662,176,3,0,0
10,52.47427435776588,377,3,2,1
23,6.867475296769056,275,3,1,0
23,105.84082518813855,213,3,1,1
18,19.625615565499956,470,2,2,0
5,91.80562196634503,464,2,0,0
13,67.93537346516669,238,1,1,1
17,49.31231865263286,435,2,0,1
2,27.33643847261215,275,2,2,1
16,78.86258156988825,340,2,1,0
1,116.38105063418833,208,1,1,1
5,6.884045370676448,346,3,0,0
11,77.44567956943928,137,2,0,0
19,101.10533033022294,103,1,1,0
17,51.22555769271137,23,3,1,1
1,19.23282129286571,397,3,2,1
6,77.26342650453097,55,1,0,0
10,94.16274624600113,486,1,1,0
8,89.49969952507618,453,2,2,0
10,32.344135391769086,165,3,1,1
21,89.85219658663145,412,3,1,0
16,49.814680263003055,340,3,0,0
10,113.8450366442952,274,2,1,0
21,82.45245216672832,160,3,2,1
19,84.55148214403378,216,2,1,0
25,43.216172228266565,308,1,2,0
18,27.69363143585192,331,1,1,0
24,118.06313769956304,29,2,1,1
22,37.803771371605066,406,3,1,0
4,32.701722325318116,438,3,1,0
22,67.39211777100293,21,2,1,0
13,116.724659126164,273,1,1,1
8,52.456195564605856,216,1,0,1
2,59.88850900981972,370,1,0,1
25,42.27747345739915,439,3,2,1
3,78.79641083420039,90,2,0,0
17,93.9864151743026,459,1,0,1
13,72.05998767558397,126,1,0,1
23,90.69014546051099,453,2,1,0
20,56.20025252164875,433,3,0,1
14,32.59331204426378,49,1,0,0
15,115.38605124900332,413,3,2,1
25,115.20964401054503,203,2,2,1
3,40.015025536881744,258,3,2,0
16,39.53132180585184,52,2,1,1
2,35.10746796728429,489,1,2,1
6,114.54149097223188,178,1,2,1
23,77.37606127727472,293,3,0,0
15,109.30116309124024,326,2,2,0
5,50.76849742088834,308,1,1,1
2,41.29971739314596,308,3,2,0
1,59.23656004363981,83,2,0,1
3,23.274352301259277,105,1,0,1
1,24.12506207341073,118,1,1,0
3,100.0279981931067,294,1,2,0
7,62.87674422684677,20,1,1,1
25,10.272819869222497,337,2,2,1
17,20.345382152944396,200,1,0,1
23,105.10913383409178,139,3,1,1
2,114.46838093926283,247,1,1,0
3,64.29900565306014,297,1,1,1
16,45.81647031051017,266,3,2,1
19,41.20631329534834,156,3,1,1
6,25.799412378452857,43,2,0,0
9,32.97140051540684,138,3,1,0
8,75.06006571267542,427,3,1,1
6,110.60900772726417,425,1,2,1
2,116.16738889025231,448,2,0,1
20,37.11516305131591,179,3,1,0
15,65.20821543271427,247,3,0,0
6,111.00493015882581,33,3,0,0
25,94.01099544245382,316,3,2,0
10,93.8446317001818,485,1,1,0
12,104.07507385258397,121,3,1,1
1,78.19708148433955,40,2,0,1
20,48.34254554779475,55,3,2,1
6,24.09477231952416,145,3,0,0
25,59.931540534894566,53,3,1,0
2,55.32436152125413,487,1,0,1
15,50.19141378840088,30,1,0,1
19,74.05585885996213,35,3,0,1
16,17.299951357019296,339,1,1,1
12,54.198634539221,302,3,0,0
4,37.525207718828746,447,2,1,0
1,34.36389978831534,240,2,2,0
9,11.753203531226177,166,1,0,1
24,41.82054309359967,110,1,0,0
25,92.20639273455282,101,2,2,0
20,53.544532750789784,37,1,1,1
12,41.104561338264425,176,1,0,1
21,98.19298330556182,337,2,2,0
6,114.25903023015088,223,3,1,0
21,67.94455442572038,221,1,1,1
6,17.875087162215866,253,2,2,0
12,97.47250911904334,359,2,2,1
25,17.05453509511885,335,2,0,1
15,31.343100996801446,381,2,0,0
14,105.05060792764884,76,2,0,0
12,47.2153717373941,465,1,0,1
18,24.78041720546912,204,2,0,1
17,74.87178619662562,284,1,2,1
20,70.2285615336305,107,2,1,1
4,117.62043023177621,151,3,2,1
21,73.68270388824128,303,2,1,0
10,19.984291365203216,323,2,2,0
9,27.399877032487673,150,3,1,0
8,21.9995826899451,182,3,2,0
17,67.59051690646618,128,1,2,1
23,95.16841118570868,346,3,2,1
12,7.100187344376863,361,3,0,1
7,6.647790153863895,424,1,1,0
25,82.96291497259288,151,3,1,0
15,13.305770115970967,59,3,0,0
6,29.35809111572404,59,2,0,1
24,31.734744173916102,328,3,2,0
12,31.436497878701946,75,1,1,0
6,5.371847310893596,156,3,1,0
14,30.70172795580936,147,3,2,0
14,89.41277728397581,281,2,2,1
5,34.16139231257931,54,3,0,0
8,99.42898810999822,352,1,0,1
16,60.870815045596565,63,2,0,0
16,103.01343325483494,478,3,0,1
14,69.2221844008435,300,2,1,0
16,9.629499632077007,317,2,2,0
1,9.56330971201008,193,3,2,0
20,103.5399561346164,291,3,2,0
25,11.089475746436406,260,2,1,0
21,79.16961954448911,181,1,1,1
21,57.57778047544632,258,2,0,0
21,101.95877049669912,372,3,1,0
17,40.236315395572625,222,2,0,0
12,119.61498996397793,63,1,1,1
7,55.80118855136347,449,3,0,0
11,87.186817185062,380,3,0,1
15,112.0104730389225,411,1,2,0
23,113.46472840675027,185,3,2,0
18,95.50357110156229,398,3,1,0
23,70.24892271584919,77,1,0,0
21,57.65874789464498,197,2,0,1
19,13.425569508818288,314,2,1,1
17,34.739530889977644,89,3,1,0
5,11.309983025054597,175,1,1,0
25,76.44647113540722,91,3,1,0
14,74.0484450968077,268,3,0,1
18,91.28330124112789,329,2,0,1
13,74.35348505246475,228,2,2,1
15,18.648760608111168,380,3,0,0
2,62.16340049711,330,2,0,1
16,28.63362220527999,400,1,0,1
10,25.6194576110683,442,2,2,1
4,119.84787118909513,379,2,1,0
1,71.96270626379234,85,3,0,1
21,80.012757353475,99,3,2,0
21,58.24858730071982,234,2,1,0
6,56.921509073205954,70,2,0,1
13,76.7777619469649,167,2,0,0
6,97.02590073685535,186,3,2,0
24,110.6606689640951,448,3,1,0
13,104.7376617055886,388,3,1,1
1,26.804159529671207,412,3,2,1
22,118.53884769485603,379,2,2,1
15,89.96739627205508,164,2,0,1
8,14.077620177136296,460,3,1,1
13,21.117047069966986,470,2,2,1
6,92.25649222531,139,1,2,1
22,103.70533720454604,165,3,2,0
18,62.87662693246706,83,2,0,1
22,12.816960290203477,198,2,0,0
19,48.95671775530277,402,3,2,0
12,37.87912704447963,500,2,0,0
6,72.364600135436,382,1,1,1
15,86.79782163455232,447,2,2,0
17,67.52865810555159,131,1,1,1
22,101.14330595651575,159,1,0,0
13,21.03543844015792,309,1,0,0
7,109.08975513632848,136,2,2,0
11,88.47827448316609,382,3,1,0
1,69.68635802725034,407,3,0,0
4,44.94503135447904,203,2,0,1
11,14.16072748574948,83,1,0,0
23,36.00440770490277,150,2,0,0
11,80.82603645532221,209,2,0,0
2,39.213201908988104,279,3,1,0
8,59.59426310140134,45,3,0,1
23,40.293041046043804,412,3,1,1
15,33.27847417167245,215,1,0,1
22,86.94036964964104,38,3,0,0
24,63.360918881109704,160,3,0,0
5,42.717025740604534,397,1,0,1
16,79.66988126269483,246,2,2,0
1,111.93033677757022,304,3,0,0
13,77.86573824373579,274,1,2,1
22,54.187031868718805,418,2,2,1
21,64.05827578164745,182,1,0,0
20,13.205508562229392,123,1,1,1
2,49.447789477147424,490,1,1,0
13,22.304391740058943,469,2,1,1
4,37.54990948211397,492,3,2,1
19,11.192118505410981,328,1,1,1
4,68.4759511916651,453,2,1,1
5,36.62049526321937,249,3,2,0
22,104.13318949506441,291,3,2,1
9,23.9061942147458,403,2,1,1
12,17.941397012092764,242,1,2,0
12,28.87041242818808,453,2,1,0
24,99.61469643826496,259,3,2,1
9,68.35870843676602,471,3,0,1
2,24.845198276125984,281,3,1,0
22,8.634344515683017,285,2,1,0
6,33.331812903342936,137,1,0,1
19,68.6695914497574,225,2,1,1
22,69.59608265479898,56,2,1,1
25,55.61644079144495,240,1,2,0
5,66.84158038314692,326,3,0,1
9,78.77987480003247,167,1,1,1
10,109.30133990269474,125,3,1,1
4,60.14547405726091,395,2,2,0
13,92.45046939151112,305,3,0,1
8,20.722335004397884,83,2,0,0
23,108.1141920885252,356,1,0,1
10,29.183125891750734,343,3,2,1
21,72.94088601478649,63,2,1,1
13,48.15910130183489,488,2,1,1
15,104.23139591699051,251,2,1,1
7,73.65973325428762,192,2,2,0
17,110.04537732207163,265,1,1,0
16,75.24702528661743,74,3,0,0
1,8.485586920838221,171,1,1,0
6,35.49096979382195,342,2,2,1
25,60.42946908458947,422,1,1,0
24,101.62532475728086,342,1,0,0
6,9.854873091834367,256,1,2,0
15,99.54837950973226,413,1,1,1
5,5.960283915395632,228,3,1,0
19,11.230614869193943,412,3,0,0
11,40.31978605138387,300,2,2,0
9,95.4677967068392,448,1,1,0
7,112.24130987389306,241,1,2,1
13,103.06393039856353,138,3,0,0
17,64.63482394769358,78,2,2,0
4,19.128994686970753,287,1,0,1
5,32.33930682923341,212,1,1,0
23,47.19378603385409,275,1,0,0
5,16.981139063537018,109,2,0,1
9,13.334495048891117,348,2,0,0
14,98.32696603011364,268,3,1,1
25,92.13017856157735,383,2,0,0
11,55.19709523925237,494,1,2,0
18,38.50142146037069,243,3,2,0
3,49.48834952218825,106,3,0,1
17,113.29882663550639,389,1,0,1
3,83.83895939964138,303,2,0,0
8,118.46720669293093,428,3,1,0
19,106.10716475262186,139,3,2,0
12,63.34587901024944,369,3,2,0
22,30.618506158790975,484,1,0,1
11,6.302070468692557,260,2,0,0
4,7.319742845278432,111,1,1,1
3,39.448536394573566,277,3,0,1
20,70.9265025160973,73,3,1,1
22,105.53934010251704,46,2,1,1
17,95.9407702678444,70,3,0,1
5,65.79959504725414,425,3,2,1
23,99.52642672655595,31,1,0,1
5,92.55015913795731,150,2,0,1
2,12.179314783552933,38,1,1,0
12,42.988263384553484,413,2,1,1
13,8.861965221184663,481,1,0,0
24,33.88125304311503,105,1,2,1
8,90.6833345444311,63,3,1,0
25,82.73169508723035,184,2,1,0
25,111.49090463325945,424,1,1,1
10,118.56595641263178,365,3,0,1
8,115.70798685373313,25,1,2,0
11,77.49528591614923,134,1,2,0
22,106.91283654676204,164,1,0,0
1,23.514198186745528,129,1,1,0
4,76.72595703117256,245,2,2,1
24,26.68612765674337,191,1,2,0
1,16.60746686580101,99,1,1,0
10,44.40648707043247,217,3,0,0
9,43.03799306865832,166,1,2,1
20,42.927142669540466,460,3,0,0
20,56.6244369685808,403,1,0,1
19,77.59553943786138,359,1,1,1
3,16.689227511931154,55,3,1,0
13,76.26532883782934,299,3,2,0
8,108.19576066213439,273,1,2,1
2,71.85093362687222,407,3,1,0
14,115.86472759236848,190,2,1,1
22,112.92397539305357,305,3,2,1
23,99.42941856696928,193,1,2,1
21,11.78507594026819,450,3,2,0
20,64.48176766789776,451,2,0,1
17,23.392781016926047,86,3,0,0
22,28.027964934837247,461,2,2,0
14,69.96120872889331,180,1,2,0
18,96.94066352908074,99,2,0,1
14,34.07321516751381,46,1,1,1
7,104.45150507881138,229,3,0,0
7,119.6922365564274,481,3,2,0
25,7.554948102347108,61,3,0,0
3,60.07177040136414,315,2,0,1
11,91.8599991130721,410,3,0,1
23,118.74734576526838,384,3,2,0
13,78.9716321578722,95,3,1,0
12,95.14967712204796,89,3,2,1
10,61.39062113161803,453,2,1,0
8,27.502751996751847,227,1,2,1
4,60.2098265800258,166,1,1,1
15,18.86311530270924,98,3,0,0
4,33.49278605243205,264,1,2,0
12,10.441277129328823,119,3,1,1
24,37.63905086184199,223,2,0,0
9,118.18728671927853,277,3,1,1
18,85.06140171651285,184,3,0,1
18,95.34723114714342,102,1,2,0
8,68.50811239147166,70,3,1,0
18,61.98809170902601,249,3,1,0
10,95.92035784683087,147,2,0,0
18,6.991478431333858,372,1,2,1
17,66.46014387092441,489,2,2,1
25,17.543227001966024,483,1,2,0
24,27.380318065566406,284,1,1,1
21,39.02134537527431,372,2,2,0
15,73.82227250665221,492,2,0,0
13,34.595612635927964,26,2,0,0
4,19.466906207521518,257,2,1,1
11,46.24426539128394,495,2,0,0
22,87.55786170705338,331,1,0,0
4,11.222416015352646,104,3,0,1
6,35.637300514796536,186,1,1,0
2,83.8824207459919,320,1,0,0
17,12.279539643393349,95,3,1,0
17,42.68892972771417,253,3,0,1
18,44.89620480199648,242,1,2,0
24,15.999032083623494,77,1,0,1
1,101.38274835641539,485,3,1,0
10,96.92738607361579,167,2,0,0
4,22.64673003004856,207,1,2,1
10,26.024882089061126,245,1,1,1
16,93.04167001384403,493,2,0,0
14,49.64607039077157,343,1,0,1
12,79.52725875304102,489,1,0,1
2,115.80867515323362,40,3,2,0
25,56.139668558695064,163,3,0,0
14,35.963194794299085,470,3,2,0
12,44.62744691431699,308,2,1,1
14,89.75247156737457,341,2,0,1
22,105.24230543923304,323,1,1,1
12,105.94200115521983,457,3,2,0
16,116.59661496795464,87,3,1,1
12,13.566296725217196,457,1,2,1
3,47.84265445038343,236,2,2,1
24,58.98239824476385,169,1,0,0
18,95.67673147056728,493,3,0,1
8,62.520143453548464,371,1,1,1
8,93.8551445386774,208,1,0,0
4,52.070721442919044,36,1,0,1
24,13.066702479010994,474,3,1,0
22,58.12482169170079,155,3,2,0
22,60.356010124972975,420,2,0,1
4,93.98396562419944,285,1,2,1
16,57.616602869253526,480,2,2,1
16,51.3335348506397,182,3,1,1
22,43.15879198229123,48,2,2,0
12,17.455194846571832,165,3,1,0
9,107.79773936007471,471,1,1,1
17,23.796756251061066,162,3,0,1
21,46.895025969943575,69,3,1,1
15,8.853863812858812,332,2,1,1
7,74.87311890565306,414,3,1,1
3,23.31612196894757,480,1,1,0
9,17.76305137720409,454,2,2,0
19,12.866442749023786,123,3,15,2
29,10.852079351790845,250,2,12,2
94,0.35845503023194303,119,5,1,1
26,18.394673575258732,120,2,12,0
5,44.444941140932755,4300,2,1,0
109,0.4760985156915933,138,6,2,0
12,14.25702998874118,272,3,6,0
17,5.335777842562174,7138,1,2,1
113,0.4501917244386589,309,6,0,1
14,8.331611903521571,170,3,14,1
17,12.093281154961081,153,1,10,2
14,16.843119133188555,244,4,0,8
114,0.24000111498905766,275,6,1,1
20,2.3178323945270582,91,5,2,7
5,37.08306986895674,2086,1,2,1
113,0.9613067685880402,67,3,0,0
84,0.027649033389890186,379,3,0,0
20,4.596072311607866,236,6,3,8
17,19.757794412190716,56,2,3,8
13,16.99869688428725,234,3,2,9
50,0.24399181613996468,126,2,2,1
16,14.102193871000578,294,2,6,1
100,0.5650534874197399,277,6,2,0
16,34.54421910864224,4606,3,0,0
13,49.67602553023981,7588,2,2,0
12,17.66789784083791,2977,2,1,0
6,8.956652042595104,5533,2,2,1
10,12.163476299409496,6227,2,1,0
7,18.657840568010766,3032,3,0,1
53,0.9721311743753249,116,3,0,0
14,5.758465930150262,6512,2,1,0
20,53.29108569157458,7360,1,2,1
26,13.947197730638468,82,4,3,7
27,12.528284360356697,51,3,17,0
12,3.901690809948201,176,4,0,4
87,0.43423614734537236,191,6,2,0
16,10.568215437780594,75,6,3,5
93,0.3204841333473918,63,3,0,1
89,0.14685217197140332,70,2,2,1
15,52.11159507322601,2301,2,1,1
23,12.402304387514159,283,3,2,9
18,10.466095025118134,155,3,1,7
52,0.8172144183642367,234,5,2,0
7,41.423692729181006,4641,3,0,0
11,2.2882343064297586,104,2,0,7
14,8.137857740559634,85,3,15,0
19,25.93413383468036,5513,2,0,0
19,6.403310973035892,205,2,19,2
25,4.895698079969859,56,2,19,2
19,19.671777763864974,146,4,2,5
14,34.30747828475141,7174,1,2,1
52,0.9670576769527209,51,5,0,1
21,8.90088544238443,297,3,16,1
15,19.825215682924508,74,3,0,8
11,13.775735473416018,6752,3,1,0
100,0.8028821357648939,332,4,0,0
18,4.209319145309605,103,2,10,0
13,8.521425572213984,155,6,0,10
17,45.58003778097618,7606,3,1,1
23,6.262203730725965,188,3,15,0
28,5.775319852833656,273,3,2,6
66,0.13707867946157362,138,3,0,0
28,8.15848265942359,231,3,13,0
101,0.5249391538286086,339,5,1,0
57,0.46422556244251406,249,6,2,1
19,10.723998570740148,156,3,0,10
27,12.381383283702235,61,3,9,1
16,18.058484799061937,166,2,2,10
17,18.533298692606756,179,3,14,2
14,9.071444865689422,7230,1,2,0
29,4.946141561736842,104,6,0,5
14,12.871854641487673,211,3,7,1
